student_id,type_name,day,hour,minute,day_of_week,duration,is_weekend,is_morning,is_afternoon,is_evening,is_peak,minutes_since_midnight,duration_category,is_early_morning,is_peak_or_weekend,daily_activity_count
2,Individual Assignment,Thursday,21,27,4,8.0,0,0,0,1,1,1287,short,0,1,1
2,Individual Assignment,Thursday,21,33,4,30.0,0,0,0,1,1,1293,medium,0,1,2
2,Individual Assignment,Sunday,7,23,7,17.0,1,1,0,0,0,443,medium,0,1,1
2,Individual Assignment,Sunday,7,17,7,29.0,1,1,0,0,0,437,medium,0,1,2
2,Group Assignment,Wednesday,6,35,3,6.0,0,1,0,0,0,395,short,0,0,1
2,Group Assignment,Wednesday,6,25,3,18.0,0,1,0,0,0,385,medium,0,0,2
2,Quiz,Monday,15,27,1,30.0,0,0,1,0,0,927,medium,0,0,1
2,Quiz,Monday,15,26,1,19.0,0,0,1,0,0,926,medium,0,0,2
2,Forum,Saturday,20,39,6,6.0,1,0,0,1,1,1239,short,0,1,1
2,Group Assignment,Monday,23,4,1,9.0,0,0,0,0,0,1384,short,0,0,3
2,Group Assignment,Monday,23,7,1,10.0,0,0,0,0,0,1387,short,0,0,4
2,Group Assignment,Monday,15,32,1,16.0,0,0,1,0,0,932,medium,0,0,1
2,Group Assignment,Monday,15,38,1,11.0,0,0,1,0,0,938,medium,0,0,2
2,Forum,Sunday,11,23,7,16.0,1,1,0,0,0,683,medium,0,1,1
2,Individual Assignment,Wednesday,5,33,3,13.0,0,0,0,0,0,333,medium,1,0,1
2,Individual Assignment,Wednesday,5,34,3,9.0,0,0,0,0,0,334,short,1,0,2
2,Group Assignment,Sunday,2,33,7,8.0,1,0,0,0,0,153,short,1,1,3
2,Group Assignment,Sunday,2,37,7,17.0,1,0,0,0,0,157,medium,1,1,4
2,Group Assignment,Sunday,2,32,7,20.0,1,0,0,0,0,152,medium,1,1,5
2,Forum,Friday,16,3,5,17.0,0,0,1,0,0,963,medium,0,0,1
